iter	Passed	Remaining
0	131	131535
1	132	66089
2	133	44225
3	133	33274
4	134	26705
5	134	22325
6	135	19206
7	135	16853
8	136	15021
9	137	13564
10	137	12364
11	138	11366
12	138	10523
13	139	9801
14	139	9172
15	140	8624
16	140	8140
17	141	7709
18	141	7321
19	142	6973
20	142	6659
21	143	6375
22	143	6114
23	144	5876
24	145	5655
25	145	5450
26	146	5262
27	146	5087
28	147	4923
29	147	4771
30	148	4628
31	148	4494
32	149	4369
33	149	4250
34	150	4139
35	150	4034
36	151	3934
37	151	3840
38	152	3751
39	152	3665
40	153	3584
41	153	3506
42	154	3433
43	154	3362
44	155	3295
45	156	3238
46	156	3177
47	157	3118
48	157	3061
49	158	3007
50	158	2954
51	159	2904
52	159	2856
53	160	2808
54	160	2763
55	161	2719
56	161	2677
57	162	2636
58	162	2597
59	163	2559
60	163	2523
61	164	2487
62	164	2453
63	165	2420
64	166	2392
65	166	2361
66	167	2333
67	168	2303
68	168	2275
69	169	2249
70	169	2221
71	170	2195
72	170	2170
73	171	2145
74	171	2120
75	172	2096
76	173	2073
77	173	2051
78	174	2030
79	174	2008
80	175	1987
81	175	1967
82	176	1945
83	176	1925
84	177	1906
85	177	1888
86	178	1871
87	179	1856
88	179	1838
89	180	1821
90	180	1805
91	181	1789
92	181	1773
93	182	1758
94	183	1745
95	183	1730
96	184	1715
97	184	1700
98	185	1686
99	185	1673
100	186	1660
101	187	1647
102	187	1634
103	188	1621
104	188	1609
105	189	1597
106	189	1585
107	190	1575
108	191	1564
109	191	1553
110	192	1542
111	193	1530
112	193	1519
113	194	1508
114	194	1498
115	195	1487
116	195	1476
117	196	1466
118	196	1456
119	197	1446
120	197	1437
121	198	1426
122	198	1417
123	199	1407
124	199	1398
125	200	1389
126	200	1380
127	201	1371
128	201	1363
129	202	1355
130	203	1346
131	203	1338
132	204	1330
133	204	1322
134	205	1314
135	205	1306
136	206	1298
137	206	1290
138	207	1282
139	207	1275
140	208	1268
141	208	1259
142	208	1252
143	209	1244
144	209	1237
145	210	1230
146	210	1224
147	211	1217
148	211	1210
149	212	1204
150	213	1198
151	213	1192
152	214	1187
153	215	1181
154	215	1175
155	216	1169
156	216	1163
157	217	1157
158	217	1151
159	218	1145
160	218	1139
161	219	1133
162	219	1127
163	220	1121
164	220	1116
165	221	1111
166	221	1105
167	222	1100
168	222	1095
169	223	1090
170	223	1085
171	224	1080
172	224	1075
173	225	1070
174	226	1065
175	226	1061
176	227	1056
177	227	1051
178	228	1047
179	228	1042
180	229	1038
181	230	1034
182	230	1029
183	231	1025
184	231	1020
185	232	1015
186	232	1011
187	233	1007
188	233	1002
189	234	998
190	234	994
191	235	990
192	235	986
193	236	982
194	237	978
195	237	974
196	238	970
197	238	966
198	239	962
199	239	958
200	240	955
201	240	951
202	241	947
203	241	943
204	242	939
205	242	935
206	243	932
207	243	928
208	244	924
209	244	921
210	245	917
211	245	914
212	246	910
213	247	907
214	247	903
215	248	900
216	248	897
217	249	894
218	249	890
219	250	887
220	250	883
221	251	880
222	251	877
223	252	874
224	252	871
225	253	868
226	254	865
227	254	862
228	255	858
229	255	855
230	256	852
231	256	849
232	257	846
233	257	843
234	258	840
235	258	837
236	259	834
237	259	832
238	260	829
239	261	826
240	261	823
241	262	821
242	262	818
243	263	815
244	263	812
245	264	809
246	264	807
247	265	804
248	265	801
249	266	799
250	266	796
251	267	793
252	267	790
253	268	788
254	268	785
255	269	782
256	270	780
257	270	778
258	271	775
259	271	773
260	272	771
261	272	768
262	273	766
263	273	763
264	274	760
265	274	758
266	275	755
267	275	753
268	276	751
269	276	748
270	277	746
271	278	744
272	278	741
273	279	739
274	279	737
275	280	734
276	280	732
277	281	730
278	281	727
279	282	725
280	282	723
281	283	721
282	283	719
283	284	717
284	284	714
285	285	712
286	286	710
287	286	708
288	287	706
289	287	704
290	288	702
291	288	700
292	289	698
293	289	696
294	290	693
295	290	691
296	291	689
297	291	687
298	292	685
299	293	683
300	293	681
301	294	679
302	294	678
303	295	676
304	295	674
305	296	672
306	296	670
307	297	668
308	298	666
309	298	664
310	299	662
311	299	660
312	300	658
313	300	656
314	301	654
315	301	653
316	302	651
317	302	649
318	303	647
319	303	645
320	304	643
321	304	641
322	305	640
323	305	638
324	306	636
325	307	634
326	307	633
327	308	631
328	308	629
329	309	628
330	309	626
331	310	624
332	310	622
333	311	621
334	312	619
335	312	617
336	313	615
337	313	614
338	314	612
339	314	610
340	315	608
341	315	607
342	316	605
343	316	603
344	317	602
345	318	601
346	319	600
347	319	598
348	320	597
349	320	595
350	321	593
351	321	592
352	322	590
353	322	588
354	323	586
355	323	585
356	324	584
357	324	582
358	325	580
359	325	579
360	326	577
361	327	576
362	327	574
363	328	573
364	328	571
365	329	570
366	329	568
367	330	567
368	330	565
369	331	564
370	332	563
371	332	561
372	333	560
373	333	558
374	334	557
375	335	556
376	335	554
377	336	553
378	336	551
379	337	550
380	337	548
381	338	547
382	338	545
383	339	544
384	339	542
385	340	541
386	340	539
387	341	538
388	341	536
389	342	535
390	342	534
391	343	533
392	344	531
393	345	530
394	345	529
395	346	527
396	346	526
397	347	524
398	347	523
399	348	522
400	348	520
401	349	519
402	349	517
403	350	516
404	350	515
405	351	513
406	351	512
407	351	510
408	352	509
409	353	508
410	353	506
411	354	505
412	355	504
413	355	503
414	356	502
415	356	500
416	357	499
417	357	497
418	358	496
419	358	495
420	359	494
421	360	493
422	360	492
423	361	490
424	361	489
425	362	488
426	362	487
427	363	485
428	364	484
429	364	483
430	365	482
431	365	480
432	366	479
433	366	478
434	367	477
435	367	476
436	368	474
437	369	473
438	369	472
439	370	471
440	370	469
441	371	468
442	371	467
443	372	466
444	372	465
445	373	463
446	373	462
447	374	461
448	374	460
449	375	458
450	375	457
451	376	456
452	377	455
453	377	454
454	378	453
455	379	452
456	379	451
457	380	450
458	380	449
459	381	447
460	382	446
461	382	445
462	383	444
463	383	443
464	384	442
465	385	441
466	385	440
467	386	439
468	386	437
469	387	436
470	387	435
471	388	434
472	389	433
473	390	432
474	390	431
475	391	430
476	391	429
477	392	428
478	393	427
479	393	426
480	394	425
481	394	424
482	395	423
483	396	422
484	396	421
485	397	420
486	397	418
487	398	418
488	399	417
489	399	416
490	400	415
491	401	414
492	401	413
493	402	412
494	403	411
495	403	410
496	404	409
497	404	408
498	405	407
499	406	406
500	406	405
501	407	403
502	407	402
503	408	401
504	408	400
505	409	399
506	409	398
507	410	397
508	410	396
509	411	395
510	412	394
511	412	393
512	413	392
513	414	391
514	414	390
515	415	389
516	415	388
517	416	387
518	416	386
519	417	385
520	417	384
521	418	383
522	419	382
523	419	381
524	420	380
525	420	379
526	421	378
527	421	376
528	422	375
529	422	374
530	423	373
531	423	372
532	424	371
533	424	370
534	425	369
535	426	368
536	426	368
537	427	367
538	427	365
539	428	364
540	428	363
541	429	362
542	430	362
543	430	360
544	431	359
545	431	358
546	432	357
547	432	356
548	433	355
549	433	354
550	434	353
551	434	352
552	435	351
553	435	350
554	436	350
555	437	349
556	437	348
557	438	347
558	438	346
559	439	345
560	439	344
561	440	343
562	440	342
563	441	341
564	441	340
565	442	339
566	442	338
567	443	337
568	443	336
569	444	335
570	444	334
571	445	333
572	445	332
573	446	331
574	447	330
575	447	329
576	448	328
577	448	327
578	449	326
579	449	325
580	450	324
581	450	323
582	451	322
583	451	321
584	452	320
585	452	320
586	453	319
587	453	318
588	454	317
589	454	316
590	455	315
591	455	314
592	456	313
593	456	312
594	457	311
595	457	310
596	458	309
597	458	308
598	459	307
599	460	306
600	460	305
601	461	304
602	461	303
603	462	302
604	462	301
605	463	301
606	463	300
607	463	299
608	464	298
609	464	297
610	465	296
611	465	295
612	466	294
613	467	293
614	467	292
615	468	291
616	468	290
617	468	289
618	469	288
619	469	288
620	470	287
621	471	286
622	471	285
623	472	284
624	472	283
625	473	282
626	473	281
627	474	280
628	474	279
629	475	279
630	475	278
631	476	277
632	476	276
633	476	275
634	477	274
635	477	273
636	478	272
637	479	271
638	479	270
639	480	270
640	480	269
641	481	268
642	481	267
643	482	266
644	482	265
645	483	264
646	483	264
647	484	263
648	484	262
649	485	261
650	486	260
651	486	259
652	487	258
653	487	257
654	488	257
655	488	256
656	488	255
657	489	254
658	489	253
659	490	252
660	490	251
661	491	250
662	491	250
663	492	249
664	492	248
665	493	247
666	494	246
667	494	245
668	495	244
669	495	244
670	496	243
671	496	242
672	497	241
673	497	240
674	498	239
675	498	239
676	499	238
677	499	237
678	500	236
679	500	235
680	501	234
681	501	234
682	502	233
683	503	232
684	503	231
685	504	230
686	504	229
687	505	229
688	505	228
689	506	227
690	507	226
691	508	226
692	508	225
693	509	224
694	509	223
695	510	222
696	510	222
697	511	221
698	511	220
699	512	219
700	512	218
701	513	217
702	513	217
703	514	216
704	514	215
705	515	214
706	515	213
707	516	212
708	516	212
709	517	211
710	517	210
711	518	209
712	518	208
713	519	208
714	519	207
715	520	206
716	520	205
717	521	204
718	521	203
719	522	203
720	522	202
721	523	201
722	523	200
723	524	199
724	524	199
725	525	198
726	525	197
727	526	196
728	526	195
729	527	195
730	527	194
731	528	193
732	528	192
733	529	191
734	530	191
735	530	190
736	531	189
737	531	188
738	532	187
739	532	187
740	533	186
741	533	185
742	534	184
743	534	183
744	535	183
745	535	182
746	536	181
747	536	180
748	537	179
749	537	179
750	538	178
751	538	177
752	539	176
753	539	176
754	540	175
755	540	174
756	540	173
757	541	172
758	542	172
759	542	171
760	543	170
761	543	169
762	544	168
763	544	168
764	545	167
765	545	166
766	546	165
767	546	165
768	547	164
769	547	163
770	548	162
771	548	162
772	549	161
773	549	160
774	550	159
775	551	159
776	551	158
777	552	157
778	552	156
779	553	156
780	553	155
781	554	154
782	555	153
783	555	153
784	556	152
785	556	151
786	557	150
787	557	150
788	558	149
789	558	148
790	559	147
791	559	147
792	560	146
793	560	145
794	561	144
795	562	144
796	562	143
797	563	142
798	563	141
799	564	141
800	565	140
801	565	139
802	566	138
803	566	138
804	567	137
805	567	136
